name,target,source,date,hour,stadium,countryFirst,countrySecond,score
Finale,finale,,Samedi 31 Oct 2015,16:00,"Twickenham, Londres",,,
Demi Finale,demifinale1,finale,Samedi 24 Oct 2015,16:00,"Twickenham, Londres",,,
Demi Finale,demifinale2,finale,Dimanche 25 Oct 2015,16:00,"Twickenham, Londres",,,
Quart de Finale,quartfinale1,demifinale1,Sam Oct 17 2015,16:00,"Twickenham, Londres",,,
Quart de Finale,quartfinale2,demifinale1,Sam Oct 17 2015,20:00,"Twickenham, Londres",,,
Quart de Finale,quartfinale3,demifinale2,Dimanche Oct 18 2015,13:00,"Twickenham, Londres",,,
Quart de Finale,quartfinale4,demifinale2,Dimanche Oct 18 2015,16:00:00,"Twickenham, Londres",,,
match 1,poolA1,quartfinale1,Sam Oct 10 2015,20:00,Manchester City Stadium,Angleterre,Uruguay,
,poolB1,quartfinale2,Dim Oct 11 2015,20:00,"Kingsholm, Gloucester",USA,Japon,
,poolC1,quartfinale3,Dim Oct 11 2015,12:00,"Leicester City Stadium, Leicester",Argentine,Namibie,
,poolD1,quartfinale4,Dim Oct 11 2015,16:45,"Millennium Stadium, Cardiff",France,Irlande,
match2,poolA2,poolA1,Sam Oct 10 2015,16:45,"Twickenham, Londres",Australie,Pays de Galles,
,poolB2,poolB1,Sam Oct 10 2015,14:30,"St James Park, Newcastle upon Tyne",Samoa,Écosse,
,poolC2,poolC1,Ven Oct 9 2015,20:00,"St James Park, Newcastle upon Tyne",Nouvelle Zélande,Tonga,
,poolD2,poolD1,Dim Oct 11 2015,14:30,"Sandy Park, Exeter",Italie,Roumanie,
match3,poolA3,poolA2,Mar Oct 6 2015,20:00,Stadiummk Milton Keynes,Fiji,Uruguay,
,poolB3,poolB2,Mer Oct 7 2015,16:45,"The Stadium, Queen Elizabeth Olympic Park, Londres",Afrique du Sud,USA,
,poolC3,poolC2,Mer Oct 7 2015,20:00,"Sandy Park, Exeter",Namibie,Géorgie,
,poolD3,poolD2,Mar Oct 6 2015,16:45,"Leicester City Stadium, Leicester",Canada,Roumanie,
,poolA4,poolA3,Sam Oct 3 2015,20:00,Twickenham Londres,Angleterre,Australie,
,poolB4,poolB3,Sam Oct 3 2015,16:45,"St James Park, Newcastle upon Tyne",Afrique du Sud,Écosse,
,poolC4,poolC3,Dim Oct 4 2015,14:30,"Sandy Park, Exeter",Argentine,Tonga,
,poolD4,poolD3,Dim Oct 4 2015,16:45,"The Stadium, Queen Elizabeth Olympic Park, Londres",Irlande,Italie,
,poolA5,poolA4,Jeu Oct 1 2015,16:45,Millennium Stadium Cardiff,Pays de Galles,Fiji,
,poolB5,poolB4,Sam Oct 3 2015,14:30,"Stadiummk, Milton Keynes",Samoa,Japon,
,poolC5,poolC4,Sam Oct 2 2015,20:00,"Millennium Stadium, Cardiff",Nouvelle Zélande,Géorgie,
,poolD5,poolD4,Jeu Oct 1 2015,20:00,"Stadiummk, Milton Keynes",France,Canada,
,poolA6,poolA5,Dim Sep 27 2015,12:00,Villa Park Birmingham,Australie,Uruguay,
,poolB6,poolB5,Dim Sep 27 2015,14:30,"Elland Road, Leeds",Écosse,USA,
,poolC6,poolC5,Mar Sep 29 2015,16:45,"Sandy Park, Exeter",Tonga,Namibie,
,poolD6,poolD5,Dim Sep 27 2015,16:45,"Wembley Stadium, Londres",Irlande,Roumanie,
,poolA7,poolA6,Sam Sep 26 2015,20:00,Twickenham Londres,Angleterre,Pays de Galles,
,poolB7,poolB6,Sam Sep 26 2015,16:45,"Villa Park, Birmingham",Afrique du Sud,Samoa,
,poolC7,poolC6,Ven Sep 25 2015,16:45,"Kingsholm, Gloucester",Argentine,Géorgie,
,poolD7,poolD6,Sam Sep 26 2015,20:00,"Elland Road, Leeds",Italie,Canada,
,poolA8,poolA7,Mer Sep 23 2015,16:45,Millennium Stadium Cardiff,Australie,Fiji,
,poolB8,poolB7,Mer Sep 23 2015,14:30,"Kingsholm, Gloucester",Écosse,Japon,
,poolC8,poolC7,Lun Sep 24 2015,20:00,"The Stadium, Queen Elizabeth Olympic Park, Londres",Nouvelle Zélande,Namibie,
,poolD8,poolD7,Sam Sep 19 2015,14:30,"Millennium Stadium, Cardiff",Irlande,Canada,
,poolA9,poolA8,Dim Sep 20 2015,14:30,Millennium Stadium Cardiff,Pays de Galles,Uruguay,
,poolB9,poolB8,Dim Sep 20 2015,12:00,"Brighton Community Stadium, Brighton",Samoa,USA,
,poolC9,poolC8,Dim Sep 20 2015,16:45,"Wembley Stadium, Londres",Nouvelle Zélande,Argentine,
,poolD9,poolD8,Mer Sep 23 2015,20:00,"The Stadium, Queen Elizabeth Olympic Park, Londres",France,Roumanie,
,poolA10,poolA9,Dim Sep 18 2015,14:30,Millennium Stadium Cardiff,Angleterre,Fiji,
,poolB10,poolB9,Sam Sep 19 2015,16:45,"Brighton Community Stadium, Brighton",Afrique du Sud,Japon,
,poolC10,poolC9,Sam Sep 19 2015,12:00,"Kingsholm, Gloucester",Tonga,Géorgie,
,poolD10,poolD9,Sam Sep 19 2015,14:30,"Millennium Stadium, Cardiff",Italie,Canada,
