country,pool,P,W,D,L,PF,PA,PD,TF,TA,BP,PTS
Australie,A,"
","
","
","
","
","
",,,,,
Angleterre,A,1,1,0,0,35,11,24,2,1,1,5
Pays de Galles,A,,,,,,,,,,,
Fiji,A,1,0,0,1,11,35,-24,1,2,0,0
Uruguay,A,,,,,,,,,,,
Afrique du Sud,B,,,,,,,,,,,
Samoa,B,,,,,,,,,,,
Japon,B,,,,,,,,,,,
Écosse,B,,,,,,,,,,,
Usa,B,,,,,,,,,,,
Nouvelle Zélande,C,,,,,,,,,,,
Argentine,C,,,,,,,,,,,
Tonga,C,,,,,,,,,,,
Géorgie,C,,,,,,,,,,,
Namibie,C,,,,,,,,,,,
France,D,,,,,,,,,,,
Irlande,D,,,,,,,,,,,
Italie,D,,,,,,,,,,,
Canada,D,,,,,,,,,,,
Roumanie,D,,,,,,,,,,,
